Title,Authors,Abstract,Date,URL
"
Mining (maximal) span-cores from temporal networks","Edoardo Galimberti, Alain Barrat, Francesco Bonchi, Ciro Cattuto, Francesco Gullo"," When analyzing temporal networks, a fundamental task is the identification of
dense structures (i.e., groups of vertices that exhibit a large number of
links), together with their temporal span (i.e., the period of time for which
the high density holds). We tackle this task by introducing a notion of
temporal core decomposition where each core is associated with its span: we
call such cores span-cores.
",(Submitted on 28 Aug 2018),https://arxiv.org/abs/1808.09376
"
Shortest Paths with Ordinal Weights","Luca E. Schäfer, Tobias Dietz, Nicolas Fröhlich, Stefan Ruzika, José Rui Figueira"," We investigate the single-source-single-destination ""shortest"" paths problem
in acyclic graphs with ordinal weighted arc costs. We define the concepts of
ordinal dominance and efficiency for paths and their associated ordinal levels,
respectively. Further, we show that the number of ordinally non-dominated paths
vectors from the source node to every other node in the graph is polynomially
bounded and we propose a polynomial time labeling algorithm for solving the
problem of finding the set of ordinally non-dominated paths vectors from source
to sink.
",(Submitted on 28 Aug 2018),https://arxiv.org/abs/1808.09410
"
An Issue in the Martingale Analysis of the Influence Maximization  Algorithm IMM",Wei Chen," This paper explains a subtle issue in the martingale analysis of the IMM
algorithm, a state-of-the-art influence maximization algorithm. Two workarounds
are proposed to fix the issue, both requiring minor changes on the algorithm
and incur a slight penalty on the running time of the algorithm.
",(Submitted on 24 Aug 2018),https://arxiv.org/abs/1808.09363
"
On Some Combinatorial Problems in Cographs","Kona Harshita, N. Sadagopan"," The family of graphs that can be constructed from isolated vertices by
disjoint union and graph join operations are called cographs. These graphs can
be represented in a tree-like representation termed parse tree or cotree. In
this paper, we study some popular combinatorial problems restricted to
cographs. We first present a structural characterization of minimal vertex
separators in cographs. Further, we show that listing all minimal vertex
separators and the complexity of some constrained vertex separators are
polynomial-time solvable in cographs. We propose polynomial-time algorithms for
connectivity augmentation problems and its variants in cographs, preserving the
cograph property. Finally, using the dynamic programming paradigm, we present a
generic framework to solve classical optimization problems such as the longest
path, the Steiner path and the minimum leaf spanning tree problems restricted
to cographs, our framework yields polynomial-time algorithms for all three
problems.
",(Submitted on 28 Aug 2018),https://arxiv.org/abs/1808.09117
"
Finding events in temporal networks: Segmentation meets densest-subgraph  discovery","Polina Rozenshtein, Francesco Bonchi, Aristides Gionis, Mauro Sozio, Nikolaj Tatti"," In this paper we study the problem of discovering a timeline of events in a
temporal network. We model events as dense subgraphs that occur within
intervals of network activity. We formulate the event-discovery task as an
optimization problem, where we search for a partition of the network timeline
into k non-overlapping intervals, such that the intervals span subgraphs with
maximum total density. The output is a sequence of dense subgraphs along with
corresponding time intervals, capturing the most interesting events during the
network lifetime.
",(Submitted on 28 Aug 2018),https://arxiv.org/abs/1808.09317
"
A Quantum Interior Point Method for LPs and SDPs","Iordanis Kerenidis, Anupam Prakash"," We present a quantum interior point method with worst case running time
$\widetilde{O}(\frac{n^{2.5}}{\xi^{2}} \mu \kappa^3 \log (1/\epsilon))$ for
SDPs and $\widetilde{O}(\frac{n^{1.5}}{\xi^{2}} \mu \kappa^3 \log
(1/\epsilon))$ for LPs, where the output of our algorithm is a pair of matrices
$(S,Y)$ that are $\epsilon$-optimal $\xi$-approximate SDP solutions. The factor
$\mu$ is at most $\sqrt{2}n$ for SDPs and $\sqrt{2n}$ for LP's, and $\kappa$ is
an upper bound on the condition number of the intermediate solution matrices.
For the case where the intermediate matrices for the interior point method are
well conditioned, our method provides a polynomial speedup over the best known
classical SDP solvers and interior point based LP solvers, which have a worst
case running time of $O(n^{6})$ and $O(n^{3.5})$ respectively. Our results
build upon recently developed techniques for quantum linear algebra and pave
the way for the development of quantum algorithms for a variety of applications
in optimization and machine learning.
",(Submitted on 28 Aug 2018),https://arxiv.org/abs/1808.09266
"
Turning Cliques into Paths to Achieve Planarity","Patrizio Angelini, Peter Eades, Seok-Hee Hong, Karsten Klein, Stephen Kobourov, Giuseppe Liotta, Alfredo Navarra, Alessandra Tappini"," Motivated by hybrid graph representations, we introduce and study the
following beyond-planarity problem, which we call $h$-Clique2Path Planarity:
Given a graph $G$, whose vertices are partitioned into subsets of size at most
$h$, each inducing a clique, remove edges from each clique so that the subgraph
induced by each subset is a path, in such a way that the resulting subgraph of
$G$ is planar. We study this problem when $G$ is a simple topological graph,
and establish its complexity in relation to $k$-planarity. We prove that
$h$-Clique2Path Planarity is NP-complete even when $h=4$ and $G$ is a simple
$3$-plane graph, while it can be solved in linear time, for any $h$, when $G$
is $1$-plane.
",(Submitted on 27 Aug 2018 (,https://arxiv.org/abs/1808.08925
"
Explicit 3-colorings for exponential graphs","Adrien Argento, Alantha Newman"," Let $H=(V,E)$ denote a simple, undirected graph. The 3-coloring exponential
graph on $H$ is the graph whose vertex set corresponds to all (not necessarily
proper) 3-colorings of $H$. We denote this graph by $K_3^H$. Two vertices of
$K_3^H$, corresponding to colorings $f$ and $g$ of $H$, are connected by an
edge in $K_3^H$ if $f(i) \neq g(j)$ for all $ij \in E$. El-Zahar and Sauer
showed that when $H$ is 4-chromatic, $K_3^H$ is
3-chromatic~\cite{el1985chromatic}. Based on this work, Tardif gave an
algorithm to (properly) 3-color $K_3^H$ whose complexity is polynomial in the
size of $K_3^H$~\cite{tardifAlg}. Tardif then asked if there is an algorithm in
which the complexity of assigning a color to a vertex of $K_3^H$ is polynomial
in the size of $H$. We present such an algorithm, answering Tardif's question
affirmatively.
",(Submitted on 27 Aug 2018),https://arxiv.org/abs/1808.08691
"
Empirical Analysis of Common Subgraph Isomorphism Approaches to the  Lost-in-Space Star Identification Problem","Glenn Galvizo, Lipyeow Lim"," The process of identifying stars is integral toward stellar based orientation
determination in spacecraft. Star identification involves matching points in an
image of the sky with stars in an astronomical catalog. A unified framework for
identification was created and used to analyze six variations of methods based
on their approach to star set identification, obtaining a single image to
catalog star set match, and uniquely mapping each star in a image star set to a
catalog star set. Each method was presented an artificial image, and aspects
that were interchangeable among each process were normalized. Given an image
with false stars, the Pyramid method has the highest average accuracy and is
the fastest of the six. Given an image where each star's true position is
distributed randomly (Gaussian noise), the Spherical Triangle method's accuracy
is the least sensitive.
",(Submitted on 27 Aug 2018),https://arxiv.org/abs/1808.08686
"
Towards Tight Approximation Bounds for Graph Diameter and Eccentricities","Arturs Backurs, Liam Roditty, Gilad Segal, Virginia Vassilevska Williams, Nicole Wein"," Among the most important graph parameters is the Diameter, the largest
distance between any two vertices. There are no known very efficient algorithms
for computing the Diameter exactly. Thus, much research has been devoted to how
fast this parameter can be approximated. Chechik et al. showed that the
diameter can be approximated within a multiplicative factor of $3/2$ in
$\tilde{O}(m^{3/2})$ time. Furthermore, Roditty and Vassilevska W. showed that
unless the Strong Exponential Time Hypothesis (SETH) fails, no
$O(n^{2-\epsilon})$ time algorithm can achieve an approximation factor better
than $3/2$ in sparse graphs. Thus the above algorithm is essentially optimal
for sparse graphs for approximation factors less than $3/2$. It was, however,
completely plausible that a $3/2$-approximation is possible in linear time. In
this work we conditionally rule out such a possibility by showing that unless
SETH fails no $O(m^{3/2-\epsilon})$ time algorithm can achieve an approximation
factor better than $5/3$.
",(Submitted on 26 Aug 2018),https://arxiv.org/abs/1808.08494
"
Simple Graph Coloring Algorithms for Congested Clique and Massively  Parallel Computation","Manuela Fischer, Mohsen Ghaffari, Jara Uitto"," We present a very simple randomized partitioning procedure for graph
coloring, which leads to simplification or improvements of some recent
distributed and parallel coloring algorithms. In particular, we get a simple
$(\Delta+1)$ coloring algorithm with round complexity $O(\log^* \Delta)$ in the
CONGESTED CLIQUE model of distributed computing. This matches the bound of
Parter and Su [DISC'18], which improved on the $O(\log\log \Delta \log^*
\Delta)$-round algorithm of Parter [ICALP'18]. Moreover, the same random
partitioning leads to a $(\Delta+1)$ coloring algorithm with round complexity
$O(\log^* \Delta+ \sqrt{\log\log n})$ in the Massively Parallel Computation
(MPC) model with strongly sublinear memory, which is the first
sublogarithmic-time algorithm in this regime. This algorithm uses a memory of
$O(n^{\alpha})$ per machine and a total memory of $O(m+ n^{1+\varepsilon})$,
for any desirable constants $\alpha,\varepsilon>0$, where $m$ is the size of
the graph.
",(Submitted on 25 Aug 2018),https://arxiv.org/abs/1808.08419
"
Ranked Schröder Trees","Olivier Bodini, Antoine Genitrini, Mehdi Naima"," In biology, a phylogenetic tree is a tool to represent the evolutionary
relationship between species. Unfortu- nately, the classical Schr\""oder tree
model is not adapted to take into account the chronology between the branching
nodes. In particular, it does not answer the question: how many different
phylogenetic stories lead to the creation of n species and what is the average
time to get there? In this paper, we enrich this model in two distinct ways in
order to obtain two ranked tree models for phylogenetics, i.e. models coding
chronology. For that purpose, we first develop a model of (strongly) increasing
Schr\""oder trees, symbolically de- scribed in the classical context of
increasing labeling. Then we introduce a generalization for the labeling with
some unusual order constraint in Analytic Combinatorics (namely the weakly
increasing trees). Although these models are direct extensions of the
Schr\""oder tree model, it appears that they are also in one-to-one
correspondence with several classical combinatorial objects. Through the paper,
we present these links, exhibit some parameters in typical large trees and
conclude the studies with efficient uniform samplers.
",(Submitted on 25 Aug 2018),https://arxiv.org/abs/1808.08376
"
Fair redistricting is hard","Richard Kueng, Dustin G. Mixon, Soledad Villar"," Gerrymandering is a long-standing issue within the U.S. political system, and
it has received scrutiny recently by the U.S. Supreme Court. In this note, we
prove that deciding whether there exists a fair redistricting among legal maps
is NP-hard. To make this precise, we use simplified notions of ""legal"" and
""fair"" that account for desirable traits such as geographic compactness of
districts and sufficient representation of voters. The proof of our result is
inspired by the work of Mahanjan, Minbhorkar and Varadarajan that proves that
planar k-means is NP-hard.
",(Submitted on 27 Aug 2018),https://arxiv.org/abs/1808.08905
"
Detecting strong cliques","Ademir Hujdurović, Martin Milanič, Bernard Ries"," A strong clique in a graph is a clique intersecting every maximal independent
set. We study the computational complexity of six algorithmic decision problems
related to strong cliques in graphs and almost completely determine their
complexity in the classes of chordal graphs, weakly chordal graphs, line graphs
and their complements, and graphs of maximum degree at most three. Our results
rely on connections with matchings and relate to several graph properties
studied in the literature, including well-covered graphs, localizable graphs,
and general partition graphs.
",(Submitted on 24 Aug 2018),https://arxiv.org/abs/1808.08817
"
Solving Partition Problems Almost Always Requires Pushing Many Vertices  Around","Iyad Kanj, Christian Komusiewicz, Manuel Sorge, Erik Jan van Leeuwen"," A fundamental graph problem is to recognize whether the vertex set of a graph
G can be bipartitioned into sets A and B such that G[A] and G[B] satisfy
properties P_A and P_B, respectively. This so-called (P_A,P_B)-RECOGNITION
problem generalizes amongst others the recognition of 3-colorable, bipartite,
split, and monopolar graphs. A powerful algorithmic technique that can be used
to obtain fixed-parameter algorithms for many cases of (P_A,P_B)-RECOGNITION,
as well as several other problems, is the pushing process. For bipartition
problems, the process starts with an ""almost correct"" bipartition (A',B'), and
pushes appropriate vertices from A' to B' and vice versa to eventually arrive
at a correct bipartition.
",(Submitted on 27 Aug 2018),https://arxiv.org/abs/1808.08772
"
One (more) line on the most Ancient Algorithm in History",Ilya Volkovich," We give a new simple and short (""one-line"") analysis for the runtime of the
well-known Euclidean Algorithm. While very short simple, the obtained upper
bound in near-optimal.
",(Submitted on 23 Aug 2018),https://arxiv.org/abs/1808.07957
